Program,xPONENT,,FlexMAP 3D,,,,,,,,,,,,,
"45(1,E6)",ADNI-463,88281.5,10717,223,,,,,,,,,,,,
"46(1,F6)",ADNI-464,100083,10733,201,,,,,,,,,,,,
"47(1,G6)",ADNI-465,97559,11008,206,,,,,,,,,,,,
"48(1,H6)",ADNI-466,98758,10933,206,,,,,,,,,,,,
"49(1,A7)",ADNI-467,88212.5,10790,201,,,,,,,,,,,,
"50(1,B7)",ADNI-468,96084,10983,231,,,,,,,,,,,,
"51(1,C7)",ADNI-469,87083,10983.5,207,,,,,,,,,,,,
"52(1,D7)",ADNI-470,94447.5,10887,208,,,,,,,,,,,,
"53(1,E7)",ADNI-471,103805.5,10925.5,206,,,,,,,,,,,,
"54(1,F7)",ADNI-472,124735.5,10834.5,202,,,,,,,,,,,,
"55(1,G7)",ADNI-473,98469.5,10895,225,,,,,,,,,,,,
"56(1,H7)",ADNI-474,101650.5,10918,218,,,,,,,,,,,,
"57(1,A8)",ADNI-467,90944,10623.5,208,,,,,,,,,,,,
"58(1,B8)",ADNI-468,98009,10650,204,,,,,,,,,,,,
"59(1,C8)",ADNI-469,87820.5,10913,210,,,,,,,,,,,,
"60(1,D8)",ADNI-470,94805,10944,203,,,,,,,,,,,,
"61(1,E8)",ADNI-471,104877.5,10767.5,234,,,,,,,,,,,,
"62(1,F8)",ADNI-472,128596,10763,225,,,,,,,,,,,,
"63(1,G8)",ADNI-473,94885.5,10752,205,,,,,,,,,,,,
"64(1,H8)",ADNI-474,102146,10817.5,200,,,,,,,,,,,,
"65(1,A9)",ADNI-475,102227,10838.5,203,,,,,,,,,,,,
"66(1,B9)",ADNI-476,99368.5,10855,242,,,,,,,,,,,,
"67(1,C9)",ADNI-477,98642.5,10993,214,,,,,,,,,,,,
"68(1,D9)",ADNI-478,103091,10859,226,,,,,,,,,,,,
"69(1,E9)",ADNI-479,91842.5,10691,247,,,,,,,,,,,,
"70(1,F9)",ADNI-480,90206,10856,216,,,,,,,,,,,,
"71(1,G9)",ADNI-481,107908.5,10859,231,,,,,,,,,,,,
"72(1,H9)",ADNI-482,91658.5,10804,230,,,,,,,,,,,,
"73(1,A10)",ADNI-475,102883.5,10987,219,,,,,,,,,,,,
"74(1,B10)",ADNI-476,99668,10859,201,,,,,,,,,,,,
"75(1,C10)",ADNI-477,100682.5,10809,208,,,,,,,,,,,,
"76(1,D10)",ADNI-478,102238.5,10803,232,,,,,,,,,,,,
"77(1,E10)",ADNI-479,92661,10862,220,,,,,,,,,,,,
"78(1,F10)",ADNI-480,88673.5,10845.5,216,,,,,,,,,,,,
"79(1,G10)",ADNI-481,107955,10942,209,,,,,,,,,,,,
"80(1,H10)",ADNI-482,90494,10810,261,,,,,,,,,,,,
"81(1,A11)",BioS-09,99069,10756.5,250,,,,,,,,,,,,
"82(1,B11)",BioS-10,89376.5,10908,215,,,,,,,,,,,,
"83(1,C11)",BioS-11,99875.5,10796,226,,,,,,,,,,,,
"84(1,D11)",BioS-12,109522,10738.5,218,,,,,,,,,,,,
"85(1,E11)",BioS-13,96948.5,10935,215,,,,,,,,,,,,
"86(1,F11)",BioS-14,101293,10811.5,226,,,,,,,,,,,,
"87(1,G11)",BioS-15,101662,10790.5,222,,,,,,,,,,,,
"88(1,H11)",BioS-16,104094,10797,215,,,,,,,,,,,,
"89(1,A12)",BioS-09,100624.5,10776.5,216,,,,,,,,,,,,
"90(1,B12)",BioS-10,89376.5,10778.5,218,,,,,,,,,,,,
"91(1,C12)",BioS-11,99795,10830.5,226,,,,,,,,,,,,
"92(1,D12)",BioS-12,108427.5,10764,207,,,,,,,,,,,,
"93(1,E12)",BioS-13,95577,10753.5,218,,,,,,,,,,,,
"94(1,F12)",BioS-14,100371.5,10690,243,,,,,,,,,,,,
"95(1,G12)",BioS-15,102423,10810,214,,,,,,,,,,,,
"96(1,H12)",BioS-16,104693,10721.5,206,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Count,,,,,,,,,,,,,,,
Location,Sample,Anti-Kappa IgG,Analyte 45,Total Events,,,,,,,,,,,,
"1(1,A1)",Standard1,100,123,223,,,,,,,,,,,,
"2(1,B1)",Standard2,100,118,218,,,,,,,,,,,,
"3(1,C1)",Standard3,100,130,230,,,,,,,,,,,,
"4(1,D1)",Standard4,100,103,203,,,,,,,,,,,,
"5(1,E1)",Standard5,101,100,201,,,,,,,,,,,,
"6(1,F1)",Standard6,100,123,223,,,,,,,,,,,,
"7(1,G1)",Standard7,100,134,234,,,,,,,,,,,,
"8(1,H1)",Standard8,100,114,214,,,,,,,,,,,,
"9(1,A2)",Standard1,100,126,226,,,,,,,,,,,,
"10(1,B2)",Standard2,100,132,232,,,,,,,,,,,,
"11(1,C2)",Standard3,107,100,207,,,,,,,,,,,,
"12(1,D2)",Standard4,100,133,233,,,,,,,,,,,,
"13(1,E2)",Standard5,100,107,207,,,,,,,,,,,,
"14(1,F2)",Standard6,100,117,217,,,,,,,,,,,,
"15(1,G2)",Standard7,100,104,204,,,,,,,,,,,,
"16(1,H2)",Standard8,100,109,209,,,,,,,,,,,,
"17(1,A3)",ADNI-451,100,109,209,,,,,,,,,,,,
"18(1,B3)",ADNI-452,100,122,222,,,,,,,,,,,,
"19(1,C3)",ADNI-453,100,120,220,,,,,,,,,,,,
"20(1,D3)",ADNI-454,100,110,210,,,,,,,,,,,,
"21(1,E3)",ADNI-455,100,107,207,,,,,,,,,,,,
"22(1,F3)",ADNI-456,100,106,206,,,,,,,,,,,,
"23(1,G3)",ADNI-457,100,109,209,,,,,,,,,,,,
"24(1,H3)",ADNI-458,100,132,232,,,,,,,,,,,,
"25(1,A4)",ADNI-451,107,100,207,,,,,,,,,,,,
"26(1,B4)",ADNI-452,100,100,200,,,,,,,,,,,,
"27(1,C4)",ADNI-453,100,118,218,,,,,,,,,,,,
"28(1,D4)",ADNI-454,100,126,226,,,,,,,,,,,,
"29(1,E4)",ADNI-455,100,122,222,,,,,,,,,,,,
"30(1,F4)",ADNI-456,100,120,220,,,,,,,,,,,,
"31(1,G4)",ADNI-457,100,104,204,,,,,,,,,,,,
"32(1,H4)",ADNI-458,100,137,237,,,,,,,,,,,,
"33(1,A5)",ADNI-459,100,116,216,,,,,,,,,,,,
"34(1,B5)",ADNI-460,101,100,201,,,,,,,,,,,,
"35(1,C5)",ADNI-461,100,141,241,,,,,,,,,,,,
"36(1,D5)",ADNI-462,100,113,213,,,,,,,,,,,,
"37(1,E5)",ADNI-463,100,103,203,,,,,,,,,,,,
"38(1,F5)",ADNI-464,100,106,206,,,,,,,,,,,,
"39(1,G5)",ADNI-465,100,111,211,,,,,,,,,,,,
"40(1,H5)",ADNI-466,100,130,230,,,,,,,,,,,,
"41(1,A6)",ADNI-459,100,131,231,,,,,,,,,,,,
"42(1,B6)",ADNI-460,100,114,214,,,,,,,,,,,,
"43(1,C6)",ADNI-461,100,124,224,,,,,,,,,,,,
"44(1,D6)",ADNI-462,100,103,203,,,,,,,,,,,,
"45(1,E6)",ADNI-463,100,123,223,,,,,,,,,,,,
"46(1,F6)",ADNI-464,100,101,201,,,,,,,,,,,,
"47(1,G6)",ADNI-465,106,100,206,,,,,,,,,,,,
"48(1,H6)",ADNI-466,100,106,206,,,,,,,,,,,,
"49(1,A7)",ADNI-467,100,101,201,,,,,,,,,,,,
"50(1,B7)",ADNI-468,100,131,231,,,,,,,,,,,,
"51(1,C7)",ADNI-469,107,100,207,,,,,,,,,,,,
"52(1,D7)",ADNI-470,100,108,208,,,,,,,,,,,,
"53(1,E7)",ADNI-471,106,100,206,,,,,,,,,,,,
"54(1,F7)",ADNI-472,100,102,202,,,,,,,,,,,,
"55(1,G7)",ADNI-473,100,125,225,,,,,,,,,,,,
"56(1,H7)",ADNI-474,100,118,218,,,,,,,,,,,,
"57(1,A8)",ADNI-467,100,108,208,,,,,,,,,,,,
"58(1,B8)",ADNI-468,100,104,204,,,,,,,,,,,,
"59(1,C8)",ADNI-469,110,100,210,,,,,,,,,,,,
"60(1,D8)",ADNI-470,103,100,203,,,,,,,,,,,,
"61(1,E8)",ADNI-471,100,134,234,,,,,,,,,,,,
"62(1,F8)",ADNI-472,100,125,225,,,,,,,,,,,,
"63(1,G8)",ADNI-473,100,105,205,,,,,,,,,,,,
"64(1,H8)",ADNI-474,100,100,200,,,,,,,,,,,,
"65(1,A9)",ADNI-475,103,100,203,,,,,,,,,,,,
"66(1,B9)",ADNI-476,100,142,242,,,,,,,,,,,,
"67(1,C9)",ADNI-477,100,114,214,,,,,,,,,,,,
"68(1,D9)",ADNI-478,100,126,226,,,,,,,,,,,,
"69(1,E9)",ADNI-479,100,147,247,,,,,,,,,,,,
"70(1,F9)",ADNI-480,100,116,216,,,,,,,,,,,,
"71(1,G9)",ADNI-481,100,131,231,,,,,,,,,,,,
"72(1,H9)",ADNI-482,100,130,230,,,,,,,,,,,,
"73(1,A10)",ADNI-475,100,119,219,,,,,,,,,,,,
"74(1,B10)",ADNI-476,100,101,201,,,,,,,,,,,,
"75(1,C10)",ADNI-477,108,100,208,,,,,,,,,,,,
